,generation,best_reward,mean_reward,worst_reward
43,44,747.5027609205199,646.8091757435848,531.4535273727198
44,45,753.5814605660232,623.8532392535028,488.8681977829359
45,46,804.2440828075181,653.5440842279309,345.4399491599907
46,47,770.3477141328485,666.5302319014552,566.9780319469326
47,48,810.2270474992598,684.8438704873045,522.2386796215968
48,49,768.3397685262856,653.7437059024924,532.5721560014616
49,50,819.3181128178566,665.271560342256,506.23984451313066
50,51,765.6313123458007,668.6389951806996,567.6109640102158
51,52,778.6078226021224,670.2442546234416,553.8700494291205
52,53,808.4639983118042,636.5680352854815,546.8562989443554
53,54,795.1162452240579,642.878253267322,444.09389388741437
54,55,756.7075707509861,640.7413425468451,530.6793689907751
55,56,757.3758375521483,671.4233985962701,556.6224677606123
56,57,795.0110272086469,669.5257468622979,413.7878940875983
57,58,783.7774961108746,685.5185792028869,526.410340906877
58,59,748.002189843991,629.350980192934,422.7432787471375
59,60,795.7400374662739,669.040188721921,574.3934514279576
60,61,757.8992347723708,669.5595614379265,571.7697596423583
61,62,825.0026858585181,705.7822591857863,611.9268164953355
62,63,825.748188372777,704.7580557532458,540.2272506810308
63,64,784.683370551514,694.679472898043,562.7936314896114
64,65,812.8503409108747,689.8872930288902,574.7324618743522
65,66,821.4598647394208,718.906013441594,565.7753050827913
66,67,787.9112058546153,705.5412783863547,500.1730258182756
67,68,835.1832128162508,754.5351646319378,690.5994277964788
68,69,818.7625764537213,720.39798575959,594.2768469882323
69,70,784.2061362418343,739.0413440149925,658.7075438157019
70,71,803.0495145722026,718.8161456968996,624.336146919067
71,72,804.1646456095598,676.5811379793256,541.4567219036046
72,73,849.6254392216553,729.5554466769227,671.5581477505103
73,74,824.2175099646034,711.5529632306093,552.5323948125058
74,75,805.0003949555374,701.5127029015633,549.3420998063841
75,76,789.4249238208996,688.604167536011,550.3759880440736
76,77,848.2846859608838,711.8775046617852,628.7473247488917
77,78,826.318181801885,732.102077980572,582.2457039656695
78,79,818.5730029860898,722.669056382035,635.3561493038615
79,80,769.7683728520842,704.3999475695043,602.6115266453489
80,81,816.6910783302044,701.9863058244221,575.8310276046825
81,82,804.2941409420301,718.4534883898668,582.2755045161274
82,83,803.4054372646088,708.3154408456242,608.2206825941382
83,84,824.7357271405801,700.9940315598358,585.4445574598558
84,85,782.9177316988947,699.6567208565324,589.3588884801107
85,86,808.9272311876231,718.8449027805723,643.6308094026128
86,87,842.539719211889,718.3360587776692,602.3205351535491
87,88,797.9690057722592,709.9625639643725,478.41205720492104
88,89,777.1836639347847,726.5032783567049,537.2229990059537
89,90,817.754271192464,726.5841901523042,543.0650930869288
90,91,787.8192728487477,706.852112101639,525.3392272917199
91,92,818.6872645442708,703.8842953577141,526.7986119167465
92,93,830.9867279889534,692.0771286676404,581.5074855633098
93,94,791.5077041981496,718.9414371500981,624.5988327311555
94,95,795.9742225572423,692.2642205135819,530.6730431188199
95,96,791.5613789857094,707.4675547341947,497.34250538913557
96,97,787.1298934203403,692.7751164072642,473.4315625883313
97,98,791.2207628468968,711.5282931409779,582.4218392500931
98,99,808.9426137527122,699.5937961773487,514.7285144920265
99,100,781.5971401006407,696.3822469566235,617.5895968636299
100,101,787.3547920240313,698.8394213626199,544.8736618624563
101,102,789.7723198743998,701.4817691786236,551.5256136493429
102,103,774.8618430853488,730.4900283590333,656.4065662627658
103,104,830.4221449926929,738.1519659674623,600.921081323516
104,105,806.3439988049173,738.3868733061005,633.78633870125
105,106,820.8530585082979,701.7552223825456,489.87191651545317
106,107,802.9993162076245,718.2372379445035,557.274078168868
107,108,801.9581934215448,718.8949825108201,628.884227467827
108,109,778.2161802808748,704.7512349066646,564.7333212359301
109,110,800.5514801163541,673.9285421253339,485.2161630582765
110,111,827.2529237229921,695.2261997838755,411.1085985925245
111,112,838.627362170537,721.1000195232918,568.7514594690839
112,113,789.0014112005634,720.8284455006008,593.0164553559671
113,114,786.0251251720478,705.7451391720323,518.4549839079858
114,115,794.6053251606221,721.4077895696107,569.9551871807587
